"node_id","duration","items"
0,90,99
0,120,180
0,150,502
0,210,597
0,210,1041
0,240,1031
0,240,1063
0,330,1286
1,30,40
1,60,67
1,60,87
1,60,111
1,90,181
1,90,305
1,120,412
1,120,498
1,120,522
1,210,1054
1,240,1105
1,240,1129
1,270,1356
1,300,1593
1,360,1887
1,360,1907
1,360,1910
1,360,1823
2,30,19
2,30,41
2,60,66
2,60,106
2,60,127
2,180,610
2,240,1051
2,300,1584
2,300,1858
2,330,1859
2,330,1906
2,330,1820
3,180,264
3,180,613
3,240,1110
3,300,1291
3,330,1742
4,30,21
4,60,55
4,60,77
4,90,117
4,120,169
4,150,320
4,150,504
4,150,562
4,180,646
4,180,777
4,180,891
4,210,879
4,210,965
4,240,1217
4,270,1185
4,270,1430
4,330,1369
4,360,1628
4,360,1621
5,30,20
5,90,82
5,90,217
5,90,283
5,90,303
5,150,344
5,150,523
5,180,755
5,180,867
5,240,1058
5,270,1380
5,360,1946
5,360,1816
6,30,45
6,30,30
6,60,71
6,90,136
6,120,286
6,120,501
6,150,562
6,150,548
6,300,1421
6,300,1597
6,300,1791
6,300,1946
6,330,1888
6,330,1892
6,330,1876
6,330,1732
6,360,1639
7,120,267
7,150,635
7,240,1119
7,270,1397
8,30,21
8,60,61
8,90,130
8,120,412
8,150,497
8,180,582
8,180,978
8,210,1072
8,210,1105
8,210,1134
8,240,1091
8,270,1366
8,270,1457
8,270,1512
8,300,1544
8,300,1611
8,360,1600
9,30,41
9,30,60
9,120,225
9,210,624
9,210,953
9,270,1329
9,270,1452
