"node_id","duration","items"
0,10,7
0,10,22
0,10,27
0,20,54
0,30,150
0,30,166
0,50,348
0,60,432
0,60,647
0,70,703
0,70,915
0,90,989
0,100,1076
0,110,1508
0,120,1692
0,130,1909
0,140,1946
0,140,2008
0,140,2060
0,150,2220
0,160,2405
0,200,2819
0,200,2857
0,210,2980
0,230,3360
0,240,3363
0,250,3329
0,250,3691
0,250,3738
0,260,3787
0,300,3942
0,300,4279
0,310,4428
0,321,4343
0,321,4454
0,321,4518
0,330,4525
0,341,4443
0,341,4456
0,361,4230
10,10,13
10,10,19
10,20,44
10,20,67
10,40,153
10,40,267
10,50,342
10,70,631
10,80,825
10,80,877
10,90,1138
10,110,1320
10,130,1761
10,140,1930
10,150,2159
10,160,2371
10,160,2460
10,170,2520
10,190,2908
10,220,3116
10,220,3344
10,230,3297
10,260,3899
10,300,4489
10,300,4494
10,330,4936
10,341,4949
10,351,4949
11,20,66
11,40,115
11,40,271
11,50,403
11,60,527
11,60,550
11,60,662
11,80,809
11,80,981
11,90,1132
11,100,1334
11,110,1453
11,110,1547
11,140,1983
11,150,2065
11,180,2682
11,180,2760
11,180,2726
11,190,2816
11,200,3062
11,200,3121
11,230,3257
11,230,3333
11,240,3404
11,250,3348
11,250,3407
11,270,3554
11,280,4036
11,290,4177
11,310,4316
11,310,4489
11,310,4550
11,321,4578
11,321,4501
11,331,4460
11,340,4401
11,340,4401
11,351,4361
11,360,4357
11,361,4299
11,361,4257
12,10,17
12,40,164
12,50,317
12,50,376
12,60,510
12,110,951
12,120,941
12,120,1351
12,120,1634
12,120,1701
12,140,2044
12,140,2212
12,160,2329
12,180,2619
12,180,2641
12,190,2847
12,190,2807
12,210,2885
12,210,2860
12,210,2886
12,220,3097
12,260,3231
12,260,3324
12,260,3518
12,270,4043
12,270,3867
12,280,3925
12,280,3826
12,280,3824
12,300,3809
12,320,4214
12,331,4256
12,331,4283
12,341,4285
12,350,4272
12,351,4256
12,360,4174
13,20,24
13,30,124
13,30,147
13,40,248
13,70,708
13,80,852
13,110,965
13,120,1453
13,130,1624
13,140,1957
13,140,2060
13,150,2100
13,150,2192
13,150,2263
13,170,2489
13,180,2496
13,180,2548
13,180,2620
13,190,2779
13,190,2902
13,220,3114
13,220,3041
13,220,3153
13,240,3289
13,240,3328
13,250,3341
13,250,3488
13,260,3450
13,260,3495
13,260,3558
13,260,3515
13,270,3595
13,280,3615
13,280,3527
13,280,3439
13,280,3487
13,290,3613
13,300,3658
13,310,3620
13,320,3570
13,331,3561
13,351,3553
14,10,11
14,30,56
14,30,76
14,30,133
14,60,331
14,60,366
14,80,953
14,90,1101
14,100,1278
14,100,1301
14,120,1602
14,150,2008
14,150,2195
14,150,2239
14,180,2455
14,180,2634
14,180,2653
14,190,2826
14,190,2870
14,210,3059
14,210,3344
14,230,3241
14,240,3407
14,260,3614
14,280,4325
14,290,4412
14,300,4504
14,300,4409
14,310,4494
14,321,4564
14,331,4478
14,331,4490
14,341,4466
14,361,4429
14,361,4271
15,10,13
15,20,38
15,20,45
15,30,69
15,30,88
15,40,219
15,50,288
15,80,629
15,100,1143
15,100,1204
15,100,1299
15,110,1475
15,120,1503
15,130,1784
15,130,1860
15,140,2057
15,140,2061
15,150,2063
15,150,2048
15,170,2257
15,180,2320
15,180,2328
15,190,2328
15,200,2533
15,210,3070
15,220,3051
15,220,3199
15,220,3271
15,230,3408
15,230,3328
15,250,3381
15,250,3658
15,260,3716
15,260,3686
15,270,3746
15,270,3900
15,270,3878
15,280,3798
15,290,3864
15,310,4065
15,310,4120
15,310,3924
15,351,4055
16,10,12
16,10,14
16,30,104
16,40,159
16,40,211
16,40,257
16,50,446
16,60,543
16,70,587
16,90,968
16,90,1060
16,90,1130
16,120,1646
16,130,1840
16,140,1967
16,140,2048
16,160,2248
16,170,2582
16,200,3197
16,230,3238
16,240,3619
16,250,3842
16,250,3872
16,260,3921
16,270,4137
16,270,4404
16,310,4768
16,341,4966
16,351,4955
16,361,4956
17,20,42
17,40,115
17,50,324
17,70,552
17,80,820
17,100,1296
17,120,1537
17,130,1586
17,130,1745
17,140,1931
17,150,2287
17,160,2370
17,170,2350
17,170,2305
17,180,2386
17,200,2662
17,270,3881
17,290,4661
17,290,4695
17,290,4637
17,300,4769
17,310,4769
17,310,4831
17,320,4747
17,341,4604
17,341,4533
17,351,4533
17,361,4510
18,10,12
18,50,340
18,50,448
18,60,630
18,90,874
18,130,1733
18,130,1976
18,140,2052
18,150,2155
18,170,2497
18,170,2570
18,170,2672
18,180,2715
18,190,2810
18,190,2850
18,220,3267
18,220,3362
18,220,3408
18,230,3449
18,230,3527
18,270,3763
18,270,3783
18,321,4349
18,331,4460
18,331,4503
18,331,4541
18,340,4596
18,351,4551
18,351,4340
18,351,4342
19,20,28
19,20,34
19,30,89
19,40,267
19,60,507
19,70,599
19,70,789
19,90,1297
19,110,1401
19,120,1440
19,140,2119
19,160,2292
19,170,2468
19,180,2811
19,190,2892
19,210,3271
19,220,3464
19,230,3560
19,230,3592
19,240,3679
19,240,3686
19,280,4516
19,290,4441
19,320,4959
19,321,4897
19,350,4692
19,361,4712
19,361,4505
19,361,4506
19,361,4455
1,20,51
1,30,100
1,50,323
1,60,541
1,60,666
1,60,795
1,70,861
1,80,1028
1,90,1111
1,100,1416
1,110,1404
1,150,2119
1,160,2421
1,190,2790
1,190,2889
1,200,2974
1,210,3311
1,230,3715
1,240,3878
1,270,3960
1,270,4233
1,290,4616
1,290,4671
1,331,4774
1,341,4773
1,341,4751
1,351,4751
1,361,4621
2,20,19
2,30,38
2,30,102
2,30,153
2,40,183
2,50,273
2,60,475
2,60,582
2,80,651
2,100,991
2,100,1129
2,100,1337
2,110,1358
2,110,1525
2,130,1787
2,140,2027
2,150,2334
2,160,2290
2,160,2311
2,170,2393
2,170,2388
2,210,2826
2,230,3401
2,230,3553
2,240,3599
2,240,3659
2,240,3589
2,240,3444
2,250,3524
2,250,3488
2,250,3484
2,260,3481
2,270,3547
2,280,3549
2,290,3719
2,300,3779
2,300,3847
2,310,3879
2,310,3936
2,321,3918
2,350,3773
2,351,3754
3,10,12
3,10,17
3,20,91
3,30,152
3,40,210
3,40,285
3,50,345
3,60,450
3,70,799
3,80,871
3,80,1032
3,90,1004
3,90,1079
3,110,1355
3,110,1348
3,120,1539
3,130,1708
3,160,2066
3,170,2409
3,180,2647
3,200,3198
3,200,3281
3,210,3401
3,220,3519
3,230,3565
3,240,3723
3,250,3774
3,260,4347
3,270,4273
3,280,4330
3,290,4234
3,290,4305
3,300,4297
3,300,4491
3,300,4456
3,310,4321
3,310,4189
3,330,4151
3,330,4152
4,20,15
4,20,31
4,20,74
4,40,202
4,50,270
4,60,488
4,70,711
4,70,869
4,80,990
4,90,1087
4,90,1175
4,90,1282
4,90,1316
4,100,1357
4,100,1396
4,100,1442
4,110,1422
4,120,1632
4,130,1871
4,150,1941
4,160,2329
4,160,2324
4,170,2414
4,170,2440
4,190,2579
4,190,2640
4,190,2645
4,190,2640
4,200,2787
4,210,2809
4,240,2961
4,270,3531
4,280,3681
4,290,4075
4,300,4280
4,310,4217
4,330,4466
4,350,4485
4,361,4411
5,10,13
5,10,11
5,20,34
5,20,56
5,30,130
5,50,175
5,70,629
5,70,739
5,70,753
5,70,792
5,80,977
5,100,1038
5,100,1495
5,110,1580
5,130,1758
5,130,1878
5,140,1954
5,160,2241
5,170,2439
5,170,2495
5,190,2516
5,200,2752
5,210,2791
5,230,3220
5,240,3518
5,250,3665
5,260,3702
5,280,4274
5,290,4270
5,300,4438
5,310,4444
5,310,4328
5,331,4442
5,331,4575
5,340,4587
5,341,4570
5,351,4573
5,351,4397
6,10,11
6,20,38
6,20,101
6,40,234
6,50,330
6,70,789
6,110,1318
6,110,1539
6,120,1618
6,130,1687
6,130,1785
6,140,1943
6,150,2155
6,150,2294
6,160,2504
6,170,2600
6,170,2657
6,200,2718
6,200,3073
6,200,3047
6,200,2963
6,200,2991
6,220,3256
6,220,3123
6,230,3299
6,240,3416
6,240,3302
6,250,3482
6,270,3487
6,280,3815
6,280,3818
6,300,3807
6,321,3994
6,341,4111
6,341,4041
6,351,4019
6,361,3897
7,10,14
7,10,11
7,30,36
7,40,187
7,40,279
7,50,330
7,50,416
7,70,612
7,90,1050
7,100,1157
7,110,1482
7,110,1503
7,110,1641
7,130,1958
7,160,2194
7,160,2247
7,180,2513
7,200,3083
7,210,3152
7,210,3238
7,210,3280
7,210,3223
7,220,3372
7,220,3392
7,230,3532
7,230,3552
7,240,3489
7,280,4187
7,290,4259
7,300,4335
7,300,4262
7,310,4328
7,320,4387
7,320,4297
7,321,4300
7,331,4322
7,331,4185
7,341,4187
7,341,4143
8,30,47
8,40,142
8,50,333
8,50,495
8,60,552
8,70,653
8,70,768
8,90,1012
8,90,1004
8,90,1068
8,100,1159
8,120,1456
8,120,1671
8,120,1690
8,130,1803
8,140,1902
8,150,2190
8,160,2295
8,180,2385
8,180,2653
8,200,2773
8,250,3650
8,250,3680
8,250,3695
8,260,3852
8,260,3842
8,260,3795
8,280,4078
8,290,4100
8,290,4199
8,300,4306
8,321,4213
8,331,4314
8,361,4404
9,10,13
9,10,17
9,30,67
9,60,359
9,80,880
9,80,945
9,80,988
9,80,1073
9,80,1097
9,80,1131
9,100,1300
9,120,1553
9,120,1688
9,120,1771
9,130,1903
9,150,2189
9,160,2319
9,160,2353
9,170,2426
9,190,2705
9,200,2837
9,210,3126
9,210,3123
9,210,3027
9,220,3059
9,220,3186
9,240,3470
9,260,3923
9,270,3973
9,270,3961
9,280,4175
9,290,4294
9,290,4287
9,321,4548
9,321,4478
9,340,4418
9,350,4264
9,361,4139
9,361,3998
9,361,3858
