"node_id","duration","items"
0,10,14
0,10,11
0,20,23
0,20,20
0,30,25
0,30,30
0,40,27
0,60,58
0,60,65
0,80,50
0,90,65
0,100,57
0,110,69
0,110,66
0,130,85
0,140,116
0,150,82
0,160,68
0,160,74
0,180,87
0,190,100
0,190,92
0,200,86
0,210,80
0,210,81
0,220,87
0,220,79
0,240,109
0,250,128
0,250,121
0,260,141
0,270,129
0,270,137
0,280,147
0,280,139
0,290,153
0,290,151
0,300,160
0,310,159
0,320,81
0,330,75
0,340,75
0,350,75
0,360,75
0,360,75
1,40,31
1,50,43
1,70,61
1,70,59
1,80,55
1,90,65
1,100,79
1,120,77
1,130,81
1,150,111
1,150,116
1,170,82
1,180,97
1,190,87
1,200,88
1,230,134
1,240,103
1,260,132
1,300,201
1,310,182
1,320,200
1,330,75
1,330,75
1,340,75
1,350,75
1,360,75
2,10,18
2,20,22
2,30,24
2,40,27
2,50,41
2,50,43
2,60,52
2,70,59
2,80,65
2,90,54
2,100,71
2,110,63
2,120,74
2,120,78
2,130,79
2,140,76
2,140,80
2,160,83
2,170,85
2,170,88
2,180,79
2,200,108
2,210,120
2,220,105
2,230,126
2,230,85
2,240,95
2,250,94
2,260,101
2,270,112
2,280,123
2,290,137
2,300,156
2,310,136
2,320,125
2,340,75
2,350,75
