"node_id","duration","items"
0,60,180
0,120,299
0,180,639
0,210,795
0,240,1035
0,270,1125
0,300,1299
0,300,1329
0,300,1362
0,330,1452
0,360,1570
0,390,1717
0,420,1866
0,420,1959
0,450,2048
0,450,2078
0,450,2108
0,510,2375
0,540,2436
0,571,2676
0,601,2794
0,601,2824
0,661,3003
0,661,3091
0,661,3151
0,661,3182
0,691,3242
0,721,3332
0,721,3422
0,781,3689
0,781,3749
0,811,3839
0,871,3987
0,871,4107
0,901,4288
0,931,4408
0,931,4468
0,931,4498
0,961,4558
0,1261,5995
0,1291,6236
0,1291,6265
0,1321,6325
0,1321,6415
0,1381,6535
0,1381,6655
0,1381,6715
0,1411,6775
0,1411,6835
0,1471,7015
0,1471,7104
0,1471,7134
0,1531,7314
0,1591,7583
0,1621,7792
0,1711,8326
0,1741,8387
0,1771,8506
0,1801,8716
0,1801,8746
0,1861,8896
0,1861,9016
0,1861,9076
0,1951,9256
0,1951,9465
0,2011,9675
0,2041,9915
0,2101,10185
0,2161,10513
0,2191,10664
0,2191,10724
0,2221,10814
0,2221,10844
0,2341,11262
0,2341,11442
0,2371,11562
0,2401,11742
0,2461,11921
0,2491,12071
0,2582,12549
0,2582,12640
0,2582,12671
0,2582,12701
0,2612,12791
0,2672,13060
0,2672,13120
0,2702,13210
0,2792,13657
0,2822,13747
0,2822,13835
0,2852,13895
0,2882,14073
0,2972,14551
0,3002,14671
0,3002,14731
0,3032,14821
0,3032,14911
0,3092,15091
0,3092,15180
0,3152,15330
0,3152,15510
0,3182,15599
0,3182,15629
0,3182,15659
0,3242,15839
0,3242,15869
0,3242,15988
0,3272,16078
0,3302,16167
0,3332,16257
0,3332,16377
0,3362,16498
0,3392,16588
0,3422,16858
0,3452,16948
0,3452,17008
0,3482,17098
0,3482,17158
0,3512,17248
0,3632,17753
0,3632,17782
1,30,49
1,30,89
1,60,143
1,90,223
1,90,320
1,120,492
1,150,552
1,150,669
1,210,816
1,240,937
1,270,1234
1,300,1326
1,330,1444
1,390,1711
1,420,1861
1,450,2009
1,480,2217
1,510,2306
1,541,2514
1,571,2636
1,571,2695
1,601,2813
1,661,3113
1,721,3233
1,751,3621
1,781,3711
1,811,3829
1,841,3979
1,841,4069
1,871,4129
1,901,4249
1,901,4340
1,931,4430
1,1051,5051
1,1081,5231
1,1111,5351
1,1111,5384
1,1141,5444
1,1171,5622
1,1171,5651
1,1201,5800
1,1201,5830
1,1231,5920
1,1261,6099
1,1261,6129
1,1261,6159
1,1291,6309
1,1351,6548
1,1411,6877
1,1441,6997
1,1501,7295
1,1501,7356
1,1561,7534
1,1561,7595
1,1591,7745
1,1621,7924
1,1621,7954
1,1651,8074
1,1681,8164
1,1741,8373
1,1741,8553
1,1861,8972
1,1951,9509
1,1951,9540
1,2011,9840
1,2041,9990
1,2071,10140
1,2101,10320
1,2131,10440
1,2131,10470
1,2191,10768
1,2251,10887
1,2281,11097
1,2311,11337
1,2311,11397
1,2371,11667
1,2401,11757
1,2401,11817
1,2431,11936
1,2431,11966
1,2431,11996
1,2491,12176
1,2521,12386
1,2521,12446
1,2551,12536
1,2552,12595
1,2582,12655
1,2732,13490
1,2762,13639
1,2762,13670
1,2792,13729
1,2822,13937
1,2942,14266
1,3062,14923
1,3092,15192
1,3092,15254
1,3122,15314
1,3122,15404
1,3152,15524
1,3182,15614
1,3212,15823
1,3212,15853
1,3272,16003
1,3392,16627
1,3392,16747
1,3512,17077
1,3512,17317
1,3542,17497
1,3572,17587
2,30,48
2,30,68
2,60,160
2,60,215
2,60,242
2,90,388
2,120,477
2,210,796
2,210,916
2,240,976
2,300,1240
2,360,1560
2,390,1741
2,420,1890
2,450,2040
2,480,2188
2,510,2307
2,541,2515
2,571,2634
2,601,2754
2,631,2933
2,631,2964
2,631,3024
2,691,3175
2,721,3443
2,751,3563
2,751,3594
2,751,3623
2,841,3802
2,841,4009
2,871,4128
2,961,4572
2,961,4692
2,991,4753
2,1021,4933
2,1021,4963
2,1081,5203
2,1081,5233
2,1111,5323
2,1111,5353
2,1141,5413
2,1171,5682
2,1201,5772
2,1231,5981
2,1321,6429
2,1351,6579
2,1351,6610
2,1381,6670
2,1381,6790
2,1411,6850
2,1531,7471
2,1561,7591
2,1561,7624
2,1591,7773
2,1621,7893
2,1651,8013
2,1651,8043
2,1681,8192
2,1711,8282
2,1711,8342
2,1711,8402
2,1741,8491
2,1741,8551
2,1771,8671
2,1771,8731
2,1801,8821
2,1831,8911
2,1831,8941
2,1831,9001
2,1891,9151
2,1921,9301
2,1921,9390
2,1921,9450
2,1981,9660
2,2011,9780
2,2011,9870
2,2011,9900
2,2041,9990
2,2041,10020
2,2071,10080
2,2071,10140
2,2101,10259
2,2101,10319
2,2131,10439
2,2131,10499
2,2161,10559
2,2161,10619
2,2191,10709
2,2221,10829
2,2251,11008
2,2251,11039
2,2281,11218
2,2311,11278
2,2341,11338
2,2341,11458
2,2341,11548
2,2401,11787
2,2461,12087
2,2491,12237
2,2491,12297
2,2491,12327
2,2521,12387
2,2552,12537
2,2612,12836
2,2612,12866
2,2642,12956
2,2642,13015
2,2642,13045
2,2642,13075
2,2702,13254
2,2702,13284
2,2702,13344
2,2732,13494
2,2792,13673
2,2852,13968
2,2882,14147
2,2882,14236
2,2912,14296
2,2912,14326
2,2912,14386
2,2912,14416
2,2942,14476
2,2942,14566
2,2972,14626
2,2972,14656
2,3002,14776
2,3032,14866
2,3062,15076
2,3122,15345
2,3212,15734
2,3272,16122
2,3302,16241
2,3302,16272
2,3362,16510
2,3362,16601
2,3422,16871
2,3422,16931
2,3452,17021
2,3452,17051
2,3572,17591
2,3602,17709
2,3632,17856
2,3632,17856
3,90,251
3,90,342
3,150,518
3,150,578
3,180,637
3,240,983
3,270,1101
3,270,1194
3,330,1402
3,360,1549
3,360,1579
3,390,1639
3,420,1875
3,480,2054
3,601,2790
3,631,2898
3,691,3136
3,721,3375
3,781,3644
3,811,3704
3,841,3912
3,901,4211
3,931,4449
3,961,4539
3,991,4689
3,991,4749
3,1021,4839
3,1051,4899
3,1051,5018
3,1051,5078
3,1081,5168
3,1111,5318
3,1141,5497
3,1171,5587
3,1171,5647
3,1201,5766
3,1201,5796
3,1231,5886
3,1231,5916
3,1231,5976
3,1321,6335
3,1321,6424
3,1351,6484
3,1411,6663
3,1441,6933
3,1441,6963
3,1471,7083
3,1501,7203
3,1531,7263
3,1561,7503
3,1591,7623
3,1621,7832
3,1651,8041
3,1681,8131
3,1681,8221
3,1711,8310
3,1771,8668
3,1831,8878
3,1891,9118
3,1891,9266
3,1921,9326
3,1921,9387
3,1951,9507
3,1981,9627
3,1981,9657
3,1981,9747
3,2071,10136
3,2161,10582
3,2221,10791
3,2281,11120
3,2281,11180
3,2371,11568
3,2371,11600
3,2371,11660
3,2401,11750
3,2431,11900
3,2521,12227
3,2521,12408
3,2612,12618
3,2672,12946
3,2672,13096
3,2672,13156
3,2762,13634
3,2792,13693
3,2792,13752
3,2822,13810
3,2822,13870
3,2852,13960
3,2882,14109
3,2882,14139
3,2912,14288
3,2942,14438
3,3002,14678
3,3032,14828
3,3062,14978
3,3092,15098
3,3122,15337
3,3152,15427
3,3182,15606
3,3212,15698
3,3242,15758
3,3272,16025
3,3272,16055
3,3302,16206
3,3332,16354
3,3362,16476
3,3392,16536
3,3392,16686
3,3482,17133
3,3482,17164
3,3542,17464
3,3572,17584
3,3602,17702
3,3602,17790
4,30,68
4,120,359
4,120,455
4,150,574
4,180,721
4,180,753
4,180,814
4,210,904
4,240,1051
4,270,1111
4,330,1461
4,330,1524
4,360,1584
4,390,1760
4,480,2058
4,480,2260
4,510,2320
4,510,2383
4,540,2503
4,541,2563
4,571,2653
4,631,3007
4,691,3247
4,691,3307
4,751,3516
4,781,3635
4,811,3812
4,811,3905
4,871,4113
4,901,4173
4,961,4469
4,991,4705
4,991,4799
4,1021,4889
4,1021,4919
4,1051,5009
4,1081,5129
4,1141,5427
4,1141,5545
4,1261,6022
4,1291,6199
4,1291,6231
4,1351,6590
4,1441,6859
4,1441,7009
4,1471,7188
4,1501,7249
4,1501,7279
4,1531,7399
4,1531,7489
4,1591,7697
4,1651,7907
4,1681,8087
4,1771,8594
4,1801,8654
4,1801,8804
4,1831,8954
4,1861,9073
4,1891,9133
4,1891,9253
4,1981,9583
4,2041,9883
4,2071,10123
4,2101,10243
4,2131,10332
4,2161,10571
4,2191,10722
4,2221,10842
4,2251,10962
4,2251,11021
4,2281,11201
4,2311,11320
4,2311,11381
4,2431,11949
4,2461,12040
4,2461,12100
4,2461,12130
4,2551,12369
4,2552,12579
4,2612,12728
4,2642,12936
4,2702,13175
4,2732,13384
4,2732,13445
4,2732,13475
4,2762,13535
4,2762,13595
4,2852,13951
4,2852,14010
4,2942,14457
4,2972,14547
4,2972,14607
4,3002,14787
4,3032,14907
4,3062,14997
4,3062,15057
4,3122,15387
4,3152,15447
4,3212,15656
4,3242,15895
4,3302,16045
4,3332,16105
4,3332,16432
4,3362,16492
4,3422,16822
4,3422,16882
4,3452,16942
4,3482,17002
4,3512,17062
4,3512,17271
4,3542,17422
4,3542,17482
4,3542,17512
4,3572,17602
4,3572,17662
4,3602,17750
4,3602,17779
4,3632,17808
