"node_id","duration","items"
1,10,12
1,10,17
1,10,21
1,20,30
1,30,53
1,50,77
1,60,113
1,70,139
1,70,148
1,80,153
1,100,167
1,100,167
1,100,154
1,140,239
1,140,238
1,150,230
1,150,223
1,160,228
1,160,231
1,170,202
1,170,206
1,180,213
1,180,218
1,221,302
1,230,322
1,251,301
1,251,317
1,261,322
1,271,320
1,281,299
1,291,302
1,331,329
1,331,322
1,341,310
1,341,292
1,341,268
0,20,17
0,30,32
0,40,59
0,40,63
0,60,85
0,70,140
0,80,150
0,80,144
0,90,151
0,110,190
0,130,234
0,160,281
0,180,293
0,190,298
0,200,291
0,200,283
0,230,310
0,240,309
0,261,344
0,261,324
0,281,348
0,301,347
0,301,334
0,301,329
0,311,298
0,321,283
0,321,274
0,331,271
0,351,256
3,10,15
3,20,23
3,40,41
3,50,73
3,60,83
3,70,128
3,90,164
3,90,174
3,110,199
3,120,209
3,130,229
3,140,252
3,150,233
3,160,250
3,170,258
3,180,263
3,190,281
3,210,306
3,210,293
3,210,290
3,220,285
3,220,242
3,230,258
3,240,257
3,240,255
3,251,261
3,261,296
3,271,296
3,271,296
3,281,297
3,291,311
3,311,317
3,321,318
3,321,313
3,341,282
3,351,276
2,20,34
2,30,48
2,30,44
2,40,50
2,50,88
2,50,89
2,60,100
2,80,141
2,90,153
2,100,175
2,110,178
2,110,173
2,120,163
2,120,153
2,120,151
2,130,166
2,130,171
2,140,199
2,150,205
2,170,252
2,190,263
2,190,259
2,200,259
2,200,260
2,210,265
2,220,248
2,231,289
2,241,298
2,251,317
2,271,354
2,281,344
2,291,351
2,291,349
2,301,326
2,311,318
2,311,305
2,331,270
2,351,260
2,351,256
